Open,Low,High,Close,Volume,year,Date
24.5,23.6157,24.88,24.6243,48069900,2008,2008-06-13
24.4643,24.1529,25.4143,25.2629,37561800,2008,2008-06-16
25.4529,25.3443,25.9986,25.9186,32130600,2008,2008-06-17
25.8571,25.3357,26.0286,25.5357,28981000,2008,2008-06-18
25.4971,25.2571,26.0486,25.8429,28283900,2008,2008-06-19
25.2214,25.0,25.8571,25.0386,31727400,2008,2008-06-20
24.9686,24.5086,25.1257,24.7371,23063600,2008,2008-06-23
24.58,24.5186,25.1114,24.75,22212400,2008,2008-06-24
24.9286,24.84,25.5471,25.3414,23016100,2008,2008-06-25
24.8771,24.0014,24.9777,24.0371,31057500,2008,2008-06-26
23.7771,23.45,24.3671,24.2986,37223200,2008,2008-06-27
24.2914,23.8029,24.5714,23.92,24435600,2008,2008-06-30
23.4357,23.4286,24.96,24.9543,39688600,2008,2008-07-01
25.0071,24.0255,25.35,24.0257,29911400,2008,2008-07-02
24.2271,23.6786,24.5957,24.3029,18691500,2008,2008-07-03
24.7143,24.5571,25.3043,25.0229,29299700,2008,2008-07-07
25.0571,24.6772,25.6714,25.65,31726800,2008,2008-07-08
25.75,24.8771,25.8443,24.8929,31992000,2008,2008-07-09
24.9871,24.4814,25.3343,25.2329,30024600,2008,2008-07-10
25.0529,24.4286,25.3014,24.6543,33214700,2008,2008-07-11
25.0529,24.7257,25.6143,24.84,31644800,2008,2008-07-14
24.6143,23.77,24.82,24.2343,37144400,2008,2008-07-15
24.2971,24.0857,24.7043,24.6871,26706800,2008,2008-07-16
24.87,24.4843,24.9971,24.5443,27054500,2008,2008-07-17
24.03,23.5714,24.2357,23.5929,31014800,2008,2008-07-18
23.8429,23.0171,23.9286,23.7557,48588200,2008,2008-07-21
21.2714,20.9329,23.2514,23.1457,67128300,2008,2008-07-22
23.5929,23.08,24.0529,23.7514,37920300,2008,2008-07-23
23.4714,22.6357,23.6086,22.7186,29986400,2008,2008-07-24
22.91,22.6643,23.2857,23.16,22629900,2008,2008-07-25
23.1686,22.0029,23.21,22.0571,27882600,2008,2008-07-28
22.3643,21.95,22.7786,22.44,24431100,2008,2008-07-29
22.53,22.2971,22.9271,22.84,25899400,2008,2008-07-30
22.5286,22.4257,23.1714,22.7071,22767800,2008,2008-07-31
22.8486,22.25,22.8557,22.38,19451400,2008,2008-08-01
22.3686,21.8443,22.5571,21.89,21161700,2008,2008-08-04
22.2143,22.1171,22.9714,22.9486,24584700,2008,2008-08-05
22.8529,22.5714,23.9143,23.4557,28264600,2008,2008-08-06
23.27,23.0714,23.7357,23.3671,24013300,2008,2008-08-07
23.4086,23.3929,24.2357,24.2214,25499900,2008,2008-08-08
24.2957,24.2386,25.2143,24.7943,31832300,2008,2008-08-11
24.7886,24.7871,25.6129,25.2471,29867100,2008,2008-08-12
25.4257,25.1286,25.7143,25.6143,30083800,2008,2008-08-13
25.4757,25.4057,25.7786,25.6171,25403600,2008,2008-08-14
25.5771,25.0071,25.6786,25.1057,25294700,2008,2008-08-15
25.0814,24.8314,25.4014,25.0557,19714800,2008,2008-08-18
24.9343,24.5443,25.2957,24.79,22007300,2008,2008-08-19
24.9675,24.8014,25.2771,25.12,18105400,2008,2008-08-20
24.9243,24.5557,25.0643,24.8986,19276600,2008,2008-08-21
25.1171,25.0814,25.3571,25.2557,15700400,2008,2008-08-22
25.1643,24.5229,25.1757,24.65,17300900,2008,2008-08-25
24.68,24.6586,24.9829,24.8057,15912500,2008,2008-08-26
24.7586,24.5987,25.1086,24.9529,17063600,2008,2008-08-27
25.04,24.6786,25.1786,24.82,15406600,2008,2008-08-28
24.7086,24.1486,24.7857,24.2186,21403200,2008,2008-08-29
24.6286,23.5714,24.7857,23.7414,27884400,2008,2008-09-02
23.8343,23.4286,24.0971,23.8514,26244100,2008,2008-09-03
23.6943,22.9729,23.9875,23.0314,26549500,2008,2008-09-04
22.6557,22.5214,23.2,22.8829,28103000,2008,2008-09-05
23.51,21.6369,23.5557,22.56,37356400,2008,2008-09-08
22.4086,21.3986,22.8514,21.6686,44465200,2008,2008-09-09
21.76,21.2571,22.1414,21.6586,34755100,2008,2008-09-10
21.1686,20.8571,21.8557,21.8071,34683400,2008,2008-09-11
21.5586,20.9286,21.5586,21.2771,28322400,2008,2008-09-12
20.29,20.0514,21.0986,20.0514,32879800,2008,2008-09-15
19.1229,18.8786,20.3571,19.9829,42851300,2008,2008-09-16
19.7843,18.2614,19.7871,18.2614,42873400,2008,2008-09-17
18.6529,17.24,20.0,19.1557,59866200,2008,2008-09-18
20.3714,19.4729,20.6,20.13,51102700,2008,2008-09-19
19.9914,18.6657,20.0357,18.7214,30596900,2008,2008-09-22
18.8357,18.0943,19.4,18.12,45727300,2008,2008-09-23
18.1814,17.8786,18.7071,18.3871,37393400,2008,2008-09-24
18.5429,18.36,19.2557,18.8471,35930200,2008,2008-09-25
17.8443,17.5714,18.5429,18.32,40230400,2008,2008-09-26
17.0886,14.37,17.0971,15.0371,93644900,2008,2008-09-29
15.4643,15.1857,16.4286,16.2371,58095800,2008,2008-09-30
15.9886,15.3414,16.0514,15.5886,46303000,2008,2008-10-01
15.43,14.2857,15.5414,14.3,57477300,2008,2008-10-02
14.8571,13.5214,15.2143,13.8671,81942800,2008,2008-10-03
13.1371,12.5057,14.1114,14.02,75264900,2008,2008-10-06
14.3543,12.7071,14.5,12.7371,67099000,2008,2008-10-07
12.2732,12.24,13.7614,12.8271,78847900,2008,2008-10-08
13.3357,12.3714,13.6857,12.6771,57763700,2008,2008-10-09
12.2429,12.1429,14.2857,13.8286,79260700,2008,2008-10-10
14.9357,14.4314,15.79,15.7514,54967000,2008,2008-10-13
16.6086,14.7343,16.6286,14.8686,70749800,2008,2008-10-14
14.8343,13.9843,15.2857,13.9929,56577700,2008,2008-10-15
14.2529,13.1057,14.7757,14.5557,70732900,2008,2008-10-16
14.2286,12.2693,14.5771,13.9143,62936700,2008,2008-10-17
14.2543,13.3771,14.29,14.0629,55327500,2008,2008-10-20
13.85,13.0229,13.9857,13.07,78345000,2008,2008-10-21
13.91,13.2757,14.4643,13.8386,80314600,2008,2008-10-22
13.7871,13.1286,14.1786,14.0329,59836800,2008,2008-10-23
12.9043,12.8729,13.9857,13.7686,56787800,2008,2008-10-24
13.5814,13.1229,13.9471,13.1557,43170400,2008,2008-10-27
13.6329,13.1957,14.3571,14.2729,58361900,2008,2008-10-28
14.4086,14.2771,15.6486,14.9357,69677800,2008,2008-10-29
15.4614,15.3729,16.0271,15.8629,58503200,2008,2008-10-30
15.3429,15.02,15.8257,15.37,59277000,2008,2008-10-31
15.1329,14.98,15.5857,15.28,37783500,2008,2008-11-03
15.7129,15.2386,15.97,15.8557,49952900,2008,2008-11-04
15.5586,14.7129,15.6743,14.7571,44873400,2008,2008-11-05
14.4357,14.0,14.6829,14.1571,47109800,2008,2008-11-06
14.1771,13.6743,14.2643,14.0343,39116200,2008,2008-11-07
14.31,13.5,14.3429,13.6971,40136500,2008,2008-11-10
13.5443,13.18,13.8814,13.5386,43733500,2008,2008-11-11
13.2043,12.8586,13.32,12.8743,42106300,2008,2008-11-12
12.8386,12.2886,13.7771,13.7771,66217400,2008,2008-11-13
13.3943,12.8571,13.4271,12.8914,50188100,2008,2008-11-14
12.64,12.4657,12.9357,12.5914,41518800,2008,2008-11-17
12.8057,12.4086,12.9986,12.8443,43203400,2008,2008-11-18
12.7771,12.3157,13.0829,12.3271,41853600,2008,2008-11-19
12.1771,11.4286,12.35,11.4986,61314800,2008,2008-11-20
11.7043,11.3057,12.0171,11.7971,56045400,2008,2008-11-21
12.1729,12.12,13.5414,13.2786,51509200,2008,2008-11-24
13.5186,12.5943,13.53,12.9714,44117600,2008,2008-11-25
12.8457,12.8357,13.6071,13.5714,32137000,2008,2008-11-26
13.5286,13.1229,13.5371,13.2386,10634800,2008,2008-11-28
13.0429,12.7033,13.1814,12.7043,32991700,2008,2008-12-01
12.8614,12.3571,13.2357,13.21,41025800,2008,2008-12-02
12.7714,12.6857,13.7471,13.7,47810000,2008,2008-12-03
13.49,12.7229,13.6014,13.0586,38977500,2008,2008-12-04
12.9071,12.6943,13.4986,13.4286,37278400,2008,2008-12-05
13.8971,13.6857,14.4,14.2457,42326500,2008,2008-12-08
14.0564,13.8871,14.8,14.2943,42982000,2008,2008-12-09
13.9814,13.7857,14.2129,14.03,33501700,2008,2008-12-10
13.9071,13.5471,14.4629,13.5714,37164900,2008,2008-12-11
13.2571,13.2186,14.1429,14.0386,37184800,2008,2008-12-12
13.7129,13.2857,13.7443,13.5357,31848500,2008,2008-12-15
13.4257,13.25,13.7829,13.6329,39053800,2008,2008-12-16
13.0043,12.5743,13.0143,12.7371,46209300,2008,2008-12-17
12.7586,12.6343,12.9757,12.7757,30622000,2008,2008-12-18
12.8757,12.6857,12.9914,12.8571,28640000,2008,2008-12-19
12.86,12.0986,12.8614,12.2486,30169300,2008,2008-12-22
12.41,12.2714,12.5529,12.34,22679700,2008,2008-12-23
12.3057,12.0786,12.3214,12.1486,9690500,2008,2008-12-24
12.3771,12.1771,12.4886,12.2586,11011600,2008,2008-12-26
12.36,12.1529,12.5171,12.3729,24500000,2008,2008-12-29
12.4886,12.1029,12.5786,12.3271,34557200,2008,2008-12-30
12.2814,12.1914,12.5343,12.1929,21697900,2008,2008-12-31
12.2686,12.1657,13.0057,12.9643,26643400,2009,2009-01-02
13.31,13.2443,13.74,13.5114,42200300,2009,2009-01-05
13.7071,13.1986,13.8814,13.2886,46046800,2009,2009-01-06
13.1157,12.8943,13.2143,13.0014,26894600,2009,2009-01-07
